Country,Satellite Altimetry Year,Satellite Altimetry
Albania,2003.1666,-123.353615
Albania,2003.25,-77.054486
Albania,2003.3334,-43.885607
Albania,2003.4166,-40.331796
Albania,2003.5,-27.088577
Albania,2003.5834,13.809908
Albania,2003.6666,10.230871
Albania,2003.75,60.230386
Albania,2003.8334,79.885505
Albania,2003.9166,19.126158
Albania,2004,13.566587
Albania,2004.0834,-33.363976
Albania,2004.1666,-84.980346
Albania,2004.25,-55.155788
Albania,2004.3334,-16.072255
Albania,2004.4166,-33.004664
Albania,2004.5,-29.14193
Albania,2004.5834,26.148977
Albania,2004.6666,23.080667
Albania,2004.75,98.174654
Albania,2004.8334,52.364733
Albania,2004.9166,-13.944251
Albania,2005,-33.844233
Albania,2005.0834,-77.99309
Albania,2005.1666,-53.41188
Albania,2005.25,-51.627763
Albania,2005.3334,-58.300864
Albania,2005.4166,-37.836075
Albania,2005.5,-21.340923
Albania,2005.5834,17.832289
Albania,2005.6666,15.527334
Albania,2005.75,15.903225
Albania,2005.8334,33.34795
Albania,2005.9166,26.516058
Albania,2006,-44.609513
Albania,2006.0834,-34.09205
Albania,2006.1666,1.326164
Albania,2006.25,-50.519902
Albania,2006.3334,-66.61366
Albania,2006.4166,-30.639883
Albania,2006.5,-3.325196
Albania,2006.5834,37.820905
Albania,2006.6666,44.82007
Albania,2006.75,45.755614
Albania,2006.8334,44.741824
Albania,2006.9166,-44.677638
Albania,2007,-23.541557
Albania,2007.0834,-6.846761
Albania,2007.1666,-38.10487
Albania,2007.25,-85.58467
Albania,2007.3334,-21.473035
Albania,2007.4166,3.229681
Albania,2007.5,-16.06518
Albania,2007.5834,2.37495
Albania,2007.6666,3.926373
Albania,2007.75,33.06371
Albania,2007.8334,-7.100256
Albania,2007.9166,-33.64266
Albania,2008,-29.57237
Albania,2008.0834,-91.4719
Albania,2008.1666,-52.035924
Albania,2008.25,-4.806163
Albania,2008.3334,-63.753605
Albania,2008.4166,-26.130512
Albania,2008.5,-26.43934
Albania,2008.5834,1.863969
Albania,2008.6666,28.524693
Albania,2008.75,33.678435
Albania,2008.8334,82.99618
Albania,2008.9166,43.566067
Albania,2009,-32.480896
Albania,2009.0834,22.397868
Albania,2009.1666,-51.554468
Albania,2009.25,-45.004882
Albania,2009.3334,-38.273435
Albania,2009.4166,48.128977
Albania,2009.5,19.307444
Albania,2009.5834,32.402985
Albania,2009.6666,48.75266
Albania,2009.75,83.00112
Albania,2009.8334,70.590295
Albania,2009.9166,102.372624
Albania,2010,117.825285
Albania,2010.0834,66.637054
Albania,2010.1666,8.605915
Albania,2010.25,-49.989775
Albania,2010.3334,-4.72063
Albania,2010.4166,31.382672
Albania,2010.5,1.254921
Albania,2010.5834,30.883592
Albania,2010.6666,89.65914
Albania,2010.75,117.27621
Albania,2010.8334,145.20791
Albania,2010.9166,112.12905
Albania,2011,32.59292
Albania,2011.0834,7.210213
Albania,2011.1666,-64.38797
Albania,2011.25,-46.234556
Albania,2011.3334,-2.440952
Albania,2011.4166,19.160654
Albania,2011.5,48.876982
Albania,2011.5834,43.555032
Albania,2011.6666,65.83857
Albania,2011.75,52.0913
Albania,2011.8334,52.03296
Albania,2011.9166,65.838814
Albania,2012,-19.381555
Albania,2012.0834,-69.38544
Albania,2012.1666,-80.77604
Albania,2012.25,1.415351
Albania,2012.3334,-13.026131
Albania,2012.4166,-16.184913
Albania,2012.5,-21.72719
Albania,2012.5834,59.35825
Albania,2012.6666,78.15276
Albania,2012.75,113.21297
Albania,2012.8334,68.6325
Albania,2012.9166,64.87254
Albania,2013,46.311323
Albania,2013.0834,3.456613
Albania,2013.1666,25.664544
Albania,2013.25,1.293334
Albania,2013.3334,10.061671
Albania,2013.4166,7.725069
Albania,2013.5,12.731228
Albania,2013.5834,54.653127
Albania,2013.6666,69.69374
Albania,2013.75,97.02756
Albania,2013.8334,120.92861
Albania,2013.9166,50.417382
Albania,2014,81.36889
Albania,2014.0834,44.39255
Albania,2014.1666,-21.061523
Albania,2014.25,28.982623
Albania,2014.3334,-17.087258
Albania,2014.4166,30.685617
Albania,2014.5,53.65976
Albania,2014.5834,62.178582
Albania,2014.6666,130.0529
Albania,2014.75,96.92884
Albania,2014.8334,131.37154
Albania,2014.9166,75.11399
Albania,2015,-2.68133
Albania,2015.0834,-9.681532
Albania,2015.1666,-35.6978
Albania,2015.25,-38.31037
Albania,2015.3334,-1.544732
Albania,2015.4166,9.36886
Albania,2015.5,52.131776
Albania,2015.5834,86.42945
Albania,2015.6666,105.42277
Albania,2015.75,129.942
Albania,2015.8334,104.23829
Albania,2015.9166,56.819607
Albania,2016,67.62289
Albania,2016.0834,4.955242
Albania,2016.1666,37.558135
Albania,2016.25,5.504723
Albania,2016.3334,8.482728
Albania,2016.4166,17.093595
Albania,2016.5,28.041214
Albania,2016.5834,45.93862
Albania,2016.6666,76.64528
Albania,2016.75,71.99961
Albania,2016.8334,125.19723
Albania,2016.9166,12.971096
Albania,2017,-28.402776
Albania,2017.0834,-51.350012
Albania,2017.1666,-56.943934
Albania,2017.25,-65.295175
Albania,2017.3334,-34.90112
Albania,2017.4166,-1.410281
Albania,2017.5,37.189607
Albania,2017.5834,50.849535
Albania,2017.6666,75.21529
Albania,2017.75,60.05885
Albania,2017.8334,67.2137
Albania,2017.9166,40.469162
Albania,2018,30.482052
Albania,2018.0834,-21.253334
Albania,2018.1666,100.123756
Albania,2018.25,-26.69042
Albania,2018.3334,3.601393
Albania,2018.4166,18.190091
Albania,2018.5,18.144105
Albania,2018.5834,53.92628
Albania,2018.6666,82.2382
Albania,2018.75,112.994246
Albania,2018.8334,149.82083
Albania,2018.9166,87.18759
Albania,2019,16.772334
Albania,2019.0834,17.278932
Albania,2019.1666,-66.31822
Albania,2019.25,-13.762657
Albania,2019.3334,-11.203229
Albania,2019.4166,21.435283
Albania,2019.5,50.42139
Albania,2019.5834,33.55794
Albania,2019.6666,62.51764
Albania,2019.75,93.05741
Albania,2019.8334,165.21837
Albania,2019.9166,81.79287
Albania,2020,-20.681337
Albania,2020.0834,-34.458738
Albania,2020.1666,-62.092047
Albania,2020.25,-37.598394
Albania,2020.3334,-11.745586
Albania,2020.4166,53.493313
Albania,2020.5,28.7387
Albania,2020.5834,54.708444
Albania,2020.6666,63.8524
Albania,2020.75,125.8594
Albania,2020.8334,91.064505
Albania,2020.9166,116.08942
Albania,2021,57.231996
Albania,2021.0834,44.75637
Albania,2021.1666,-112.67909
Albania,2021.25,-58.103316
Albania,2021.3334,-26.857499
Albania,2021.4166,9.260936
Albania,2021.5,24.59831
Albania,2021.5834,61.907515
Albania,2021.6666,68.60702
Albania,2021.75,87.97221
Albania,2021.8334,94.440304
Albania,2021.9166,99.16336
Albania,2022,5.505344
Albania,2022.0834,-31.42116
Albania,2022.1666,-121.88851
Albania,2022.25,-12.10216
Albania,2022.3334,-12.834696
Albania,2022.4166,9.02372
Albania,2022.5,-4.776512
Albania,2022.5834,71.51568
Albania,2022.6666,85.47455
Albania,2022.75,100.29839
Albania,2022.8334,126.90908
Albania,2022.9166,147.37912
Albania,2023,81.3487
Albania,2023.0834,-90.7215
Albania,2023.1666,39.66652
Albania,2023.25,-11.309305
Albania,2023.3334,6.346279
Albania,2023.4166,58.92248
Albania,2023.5,65.42909
Albania,2023.5834,62.699825
Albania,2023.6666,109.43295
Albania,2023.75,175.00398
Albania,2023.8334,155.94074
Albania,2023.9166,88.99651
Albania,2024,72.82402
Albania,2024.0834,-21.12037
Albania,2024.1666,-1.834733
Albania,2024.25,10.16213
Albania,2024.3334,-37.82143
Albania,2024.4166,36.178768
Albania,2024.5,92.309415
Albania,2024.5834,113.79756
Albania,2024.6666,103.9286
Albania,2024.75,141.56936
Albania,2024.8334,85.66562
Albania,2024.9166,71.587086
Algeria,1992.0834,
Algeria,1992.1666,
Algeria,1992.25,
Algeria,1992.3334,
Algeria,1992.4166,
Algeria,1992.5,
Algeria,1992.5834,
Algeria,1992.6666,
Algeria,1992.75,47.274496
Algeria,1992.8334,22.37274
Algeria,1992.9166,-9.054136
Algeria,1993,-74.56069
Algeria,1993.0834,-112.8227
Algeria,1993.1666,-105.730385
Algeria,1993.25,-90.25321
Algeria,1993.3334,-87.255016
Algeria,1993.4166,-65.25503
Algeria,1993.5,-32.072846
Algeria,1993.5834,6.917074
Algeria,1993.6666,20.4499
Algeria,1993.75,33.218063
Algeria,1993.8334,11.642438
Algeria,1993.9166,1.793397
Algeria,1994,-46.06513
Algeria,1994.0834,-80.62661
Algeria,1994.1666,-100.2523
Algeria,1994.25,-82.122415
Algeria,1994.3334,-73.876776
Algeria,1994.4166,-52.7026
Algeria,1994.5,-11.53742
Algeria,1994.5834,35.296243
Algeria,1994.6666,62.473014
Algeria,1994.75,51.216215
Algeria,1994.8334,42.115144
Algeria,1994.9166,15.044875
Algeria,1995,-49.75053
Algeria,1995.0834,-73.40426
Algeria,1995.1666,-98.14213
Algeria,1995.25,-76.648705
Algeria,1995.3334,-63.04102
Algeria,1995.4166,-41.677926
Algeria,1995.5,-19.958664
Algeria,1995.5834,16.362302
Algeria,1995.6666,46.35062
Algeria,1995.75,43.982115
Algeria,1995.8334,29.329872
Algeria,1995.9166,-11.117658
Algeria,1996,-51.908635
Algeria,1996.0834,-91.440134
Algeria,1996.1666,-113.95803
Algeria,1996.25,-104.86282
Algeria,1996.3334,-92.17137
Algeria,1996.4166,-74.70953
Algeria,1996.5,-23.622926
Algeria,1996.5834,0.500645
Algeria,1996.6666,32.415804
Algeria,1996.75,36.342353
Algeria,1996.8334,27.911875
Algeria,1996.9166,-10.237364
Algeria,1997,-54.78669
Algeria,1997.0834,-86.612225
Algeria,1997.1666,-99.86952
Algeria,1997.25,-105.83668
Algeria,1997.3334,-76.68977
Algeria,1997.4166,-70.14565
Algeria,1997.5,-29.214757
Algeria,1997.5834,5.25329
Algeria,1997.6666,26.182774
Algeria,1997.75,18.102916
Algeria,1997.8334,12.010472
Algeria,1997.9166,-21.337893
Algeria,1998,-59.39891
Algeria,1998.0834,-96.42905
Algeria,1998.1666,-114.219
Algeria,1998.25,-101.7339
Algeria,1998.3334,-88.63364
Algeria,1998.4166,-58.93492
Algeria,1998.5,-16.80095
Algeria,1998.5834,7.180973
Algeria,1998.6666,37.519895
Algeria,1998.75,44.69095
Algeria,1998.8334,30.956414
Algeria,1998.9166,2.783722
Algeria,1999,-35.205632
Algeria,1999.0834,-54.43151
Algeria,1999.1666,-50.65922
Algeria,1999.25,-52.825935
Algeria,1999.3334,-50.290138
Algeria,1999.4166,-17.917741
Algeria,1999.5,16.165566
Algeria,1999.5834,58.690604
Algeria,1999.6666,80.08819
Algeria,1999.75,81.22369
Algeria,1999.8334,60.912535
Algeria,1999.9166,22.506224
Algeria,2000,-7.931641
Algeria,2000.0834,-39.614595
Algeria,2000.1666,-64.91183
Algeria,2000.25,-54.552224
Algeria,2000.3334,-43.535136
Algeria,2000.4166,-22.283709
Algeria,2000.5,10.784798
Algeria,2000.5834,46.334468
Algeria,2000.6666,71.85041
Algeria,2000.75,75.35943
Algeria,2000.8334,69.90565
Algeria,2000.9166,29.867647
Algeria,2001,-7.677869
Algeria,2001.0834,-47.739446
Algeria,2001.1666,-73.372714
Algeria,2001.25,-68.05081
Algeria,2001.3334,-52.585386
Algeria,2001.4166,-23.952743
Algeria,2001.5,20.547425
Algeria,2001.5834,55.177964
Algeria,2001.6666,83.90285
Algeria,2001.75,82.12576
Algeria,2001.8334,52.449357
Algeria,2001.9166,13.480326
Algeria,2002,-36.59989
Algeria,2002.0834,-40.516965
Algeria,2002.1666,-63.06708
Algeria,2002.25,-51.43358
Algeria,2002.3334,-43.38683
Algeria,2002.4166,-14.851155
Algeria,2002.5,29.058615
Algeria,2002.5834,52.086603
Algeria,2002.6666,81.36248
Algeria,2002.75,79.65476
Algeria,2002.8334,54.94814
Algeria,2002.9166,21.54166
Algeria,2003,-35.300586
Algeria,2003.0834,-66.85988
Algeria,2003.1666,-84.270924
Algeria,2003.25,-74.747674
Algeria,2003.3334,-50.52272
Algeria,2003.4166,-28.617037
Algeria,2003.5,13.909542
Algeria,2003.5834,52.59813
Algeria,2003.6666,72.31886
Algeria,2003.75,70.28238
Algeria,2003.8334,67.970574
Algeria,2003.9166,6.698508
Algeria,2004,-37.6897
Algeria,2004.0834,-60.73805
Algeria,2004.1666,-68.86417
Algeria,2004.25,-67.8355
Algeria,2004.3334,-50.39392
Algeria,2004.4166,-21.256104
Algeria,2004.5,8.880049
Algeria,2004.5834,44.874102
Algeria,2004.6666,64.01922
Algeria,2004.75,72.86135
Algeria,2004.8334,50.88549
Algeria,2004.9166,20.025248
Algeria,2005,-40.152635
Algeria,2005.0834,-73.54053
Algeria,2005.1666,-91.06778
Algeria,2005.25,-76.44125
Algeria,2005.3334,-73.88503
Algeria,2005.4166,-31.63799
Algeria,2005.5,0.5264
Algeria,2005.5834,29.970013
Algeria,2005.6666,53.16714
Algeria,2005.75,62.62986
Algeria,2005.8334,42.475916
Algeria,2005.9166,-10.956571
Algeria,2006,-36.53307
Algeria,2006.0834,-69.5328
Algeria,2006.1666,-73.25824
Algeria,2006.25,-76.59463
Algeria,2006.3334,-62.052414
Algeria,2006.4166,-38.270686
Algeria,2006.5,5.095729
Algeria,2006.5834,38.81226
Algeria,2006.6666,65.00074
Algeria,2006.75,65.88856
Algeria,2006.8334,42.925444
Algeria,2006.9166,9.292855
Algeria,2007,-27.640438
Algeria,2007.0834,-59.828334
Algeria,2007.1666,-64.55957
Algeria,2007.25,-66.5854
Algeria,2007.3334,-44.14264
Algeria,2007.4166,-27.160808
Algeria,2007.5,8.247469
Algeria,2007.5834,45.70257
Algeria,2007.6666,67.270964
Algeria,2007.75,73.05679
Algeria,2007.8334,47.4294
Algeria,2007.9166,15.538366
Algeria,2008,-19.052956
Algeria,2008.0834,-55.275768
Algeria,2008.1666,-57.23208
Algeria,2008.25,-42.544335
Algeria,2008.3334,-38.808282
Algeria,2008.4166,-6.133083
Algeria,2008.5,33.10256
Algeria,2008.5834,63.79921
Algeria,2008.6666,79.71469
Algeria,2008.75,83.84931
Algeria,2008.8334,68.19088
Algeria,2008.9166,33.162855
Algeria,2009,-16.012914
Algeria,2009.0834,-28.768582
Algeria,2009.1666,-41.042294
Algeria,2009.25,-38.839474
Algeria,2009.3334,-21.152373
Algeria,2009.4166,9.676159
Algeria,2009.5,32.317806
Algeria,2009.5834,80.52194
Algeria,2009.6666,102.05624
Algeria,2009.75,93.74892
Algeria,2009.8334,94.519556
Algeria,2009.9166,41.78873
Algeria,2010,-15.669586
Algeria,2010.0834,-47.923334
Algeria,2010.1666,-54.887287
Algeria,2010.25,-61.030783
Algeria,2010.3334,-45.94895
Algeria,2010.4166,-15.436133
Algeria,2010.5,21.328313
Algeria,2010.5834,61.4688
Algeria,2010.6666,84.15148
Algeria,2010.75,87.91335
Algeria,2010.8334,67.401394
Algeria,2010.9166,23.595855
Algeria,2011,-29.99477
Algeria,2011.0834,-53.292107
Algeria,2011.1666,-70.9498
Algeria,2011.25,-72.09271
Algeria,2011.3334,-45.210887
Algeria,2011.4166,-12.450811
Algeria,2011.5,25.364647
Algeria,2011.5834,65.364435
Algeria,2011.6666,82.65487
Algeria,2011.75,85.73824
Algeria,2011.8334,72.52307
Algeria,2011.9166,49.142245
Algeria,2012,4.476539
Algeria,2012.0834,-28.632691
Algeria,2012.1666,-17.784625
Algeria,2012.25,-26.47808
Algeria,2012.3334,-8.697465
Algeria,2012.4166,8.911536
Algeria,2012.5,57.512086
Algeria,2012.5834,87.38739
Algeria,2012.6666,111.27867
Algeria,2012.75,110.85997
Algeria,2012.8334,81.12401
Algeria,2012.9166,44.120975
Algeria,2013,14.546956
Algeria,2013.0834,-9.439376
Algeria,2013.1666,-35.248455
Algeria,2013.25,-37.843555
Algeria,2013.3334,-20.85576
Algeria,2013.4166,11.304139
Algeria,2013.5,35.688195
Algeria,2013.5834,78.829326
Algeria,2013.6666,100.53994
Algeria,2013.75,114.226945
Algeria,2013.8334,77.37749
Algeria,2013.9166,33.62236
Algeria,2014,7.275738
Algeria,2014.0834,-0.821124
Algeria,2014.1666,-25.650527
Algeria,2014.25,-23.41836
Algeria,2014.3334,-20.62527
Algeria,2014.4166,20.701654
Algeria,2014.5,49.077027
Algeria,2014.5834,93.60757
Algeria,2014.6666,109.44072
Algeria,2014.75,114.16026
Algeria,2014.8334,88.896796
Algeria,2014.9166,46.5528
Algeria,2015,4.916515
Algeria,2015.0834,-25.330223
Algeria,2015.1666,-34.724366
Algeria,2015.25,-32.75164
Algeria,2015.3334,-13.750328
Algeria,2015.4166,11.398813
Algeria,2015.5,63.04083
Algeria,2015.5834,101.98654
Algeria,2015.6666,117.43375
Algeria,2015.75,122.974716
Algeria,2015.8334,104.89962
Algeria,2015.9166,78.039095
Algeria,2016,38.59645
Algeria,2016.0834,11.895389
Algeria,2016.1666,-15.708445
Algeria,2016.25,-3.914624
Algeria,2016.3334,11.321978
Algeria,2016.4166,33.724967
Algeria,2016.5,71.96409
Algeria,2016.5834,107.16458
Algeria,2016.6666,126.79331
Algeria,2016.75,132.79834
Algeria,2016.8334,120.615445
Algeria,2016.9166,76.975256
Algeria,2017,20.064332
Algeria,2017.0834,-16.348792
Algeria,2017.1666,-22.855233
Algeria,2017.25,-18.902736
Algeria,2017.3334,-4.484573
Algeria,2017.4166,12.264008
Algeria,2017.5,61.03854
Algeria,2017.5834,97.65771
Algeria,2017.6666,114.77941
Algeria,2017.75,124.33966
Algeria,2017.8334,96.21687
Algeria,2017.9166,65.067194
Algeria,2018,35.54722
Algeria,2018.0834,4.61235
Algeria,2018.1666,1.759673
Algeria,2018.25,3.960143
Algeria,2018.3334,25.004383
Algeria,2018.4166,48.779268
Algeria,2018.5,94.27837
Algeria,2018.5834,131.27856
Algeria,2018.6666,145.35828
Algeria,2018.75,133.3874
Algeria,2018.8334,135.33294
Algeria,2018.9166,97.537376
Algeria,2019,43.26424
Algeria,2019.0834,35.82691
Algeria,2019.1666,11.474549
Algeria,2019.25,15.128595
Algeria,2019.3334,28.132696
Algeria,2019.4166,51.81846
Algeria,2019.5,91.66149
Algeria,2019.5834,122.20555
Algeria,2019.6666,143.62517
Algeria,2019.75,152.42818
Algeria,2019.8334,133.31863
Algeria,2019.9166,103.969574
Algeria,2020,69.51811
Algeria,2020.0834,42.73816
Algeria,2020.1666,24.074906
Algeria,2020.25,20.409655
Algeria,2020.3334,40.104084
Algeria,2020.4166,77.69216
Algeria,2020.5,100.835375
Algeria,2020.5834,132.64604
Algeria,2020.6666,148.4023
Algeria,2020.75,167.29519
Algeria,2020.8334,154.7022
Algeria,2020.9166,130.70305
Algeria,2021,84.10402
Algeria,2021.0834,55.51113
Algeria,2021.1666,30.31588
Algeria,2021.25,39.982837
Algeria,2021.3334,53.80364
Algeria,2021.4166,93.499824
Algeria,2021.5,126.03989
Algeria,2021.5834,163.49705
Algeria,2021.6666,190.17723
Algeria,2021.75,190.36064
Algeria,2021.8334,151.2603
Algeria,2021.9166,124.72234
Algeria,2022,67.196056
Algeria,2022.0834,42.606045
Algeria,2022.1666,17.834738
Algeria,2022.25,36.11966
Algeria,2022.3334,53.417686
Algeria,2022.4166,78.23861
Algeria,2022.5,116.42694
Algeria,2022.5834,142.17733
Algeria,2022.6666,168.74796
Algeria,2022.75,175.97082
Algeria,2022.8334,173.94389
Algeria,2022.9166,133.41865
Algeria,2023,88.71599
Algeria,2023.0834,56.02771
Algeria,2023.1666,35.466477
Algeria,2023.25,45.55062
Algeria,2023.3334,58.611095
Algeria,2023.4166,89.83412
Algeria,2023.5,124.54347
Algeria,2023.5834,163.30627
Algeria,2023.6666,193.6818
Algeria,2023.75,185.91475
Algeria,2023.8334,168.06425
Algeria,2023.9166,134.34951
Algeria,2024,82.565844
Algeria,2024.0834,63.812345
Algeria,2024.1666,65.45854
Algeria,2024.25,50.036095
Algeria,2024.3334,54.847993
Algeria,2024.4166,82.431965
Algeria,2024.5,124.29652
Algeria,2024.5834,158.55466
Algeria,2024.6666,189.64134
Algeria,2024.75,198.70365
Algeria,2024.8334,177.51765
Algeria,2024.9166,134.17818
Angola,1992.0834,
Angola,1992.1666,
Angola,1992.25,
Angola,1992.3334,
Angola,1992.4166,
Angola,1992.5,
Angola,1992.5834,
Angola,1992.6666,
Angola,1992.75,-13.653046
Angola,1992.8334,-32.98166
Angola,1992.9166,-26.474768
Angola,1993,-25.16578
Angola,1993.0834,-15.158927
Angola,1993.1666,-26.726782
Angola,1993.25,-8.398352
Angola,1993.3334,-50.157137
Angola,1993.4166,-81.14342
Angola,1993.5,-64.67436
Angola,1993.5834,-74.304976
Angola,1993.6666,-42.756945
Angola,1993.75,-16.914882
Angola,1993.8334,-14.53322
Angola,1993.9166,-27.758276
Angola,1994,-41.557778
Angola,1994.0834,-24.585862
Angola,1994.1666,-21.831842
Angola,1994.25,-30.6177
Angola,1994.3334,-35.94578
Angola,1994.4166,-64.09241
Angola,1994.5,-95.47879
Angola,1994.5834,-85.47504
Angola,1994.6666,-45.097463
Angola,1994.75,-16.008673
Angola,1994.8334,-6.719919
Angola,1994.9166,-7.198893
Angola,1995,-18.17098
Angola,1995.0834,31.60719
Angola,1995.1666,34.5255
Angola,1995.25,28.589807
Angola,1995.3334,-2.449345
Angola,1995.4166,-34.25084
Angola,1995.5,-56.290776
Angola,1995.5834,-62.338628
Angola,1995.6666,-39.59478
Angola,1995.75,-13.106896
Angola,1995.8334,4.630639
Angola,1995.9166,-23.870068
Angola,1996,-15.194952
Angola,1996.0834,15.010244
Angola,1996.1666,45.093387
Angola,1996.25,38.380507
Angola,1996.3334,9.523817
Angola,1996.4166,-44.544987
Angola,1996.5,-46.66816
Angola,1996.5834,-60.956564
Angola,1996.6666,-46.373736
Angola,1996.75,-14.256427
Angola,1996.8334,-22.90813
Angola,1996.9166,-51.98363
Angola,1997,-42.73199
Angola,1997.0834,-40.101066
Angola,1997.1666,-41.264787
Angola,1997.25,-42.329673
Angola,1997.3334,-35.058256
Angola,1997.4166,-68.349235
Angola,1997.5,-94.913594
Angola,1997.5834,-62.98222
Angola,1997.6666,-36.253676
Angola,1997.75,5.821078
Angola,1997.8334,6.771414
Angola,1997.9166,6.707379
Angola,1998,0.540001
Angola,1998.0834,-1.456881
Angola,1998.1666,11.434116
Angola,1998.25,-0.487628
Angola,1998.3334,-23.31797
Angola,1998.4166,-45.323975
Angola,1998.5,-36.67723
Angola,1998.5834,-66.12514
Angola,1998.6666,-47.12501
Angola,1998.75,13.754248
Angola,1998.8334,-0.898985
Angola,1998.9166,-30.855209
Angola,1999,-30.512957
Angola,1999.0834,7.376222
Angola,1999.1666,18.20429
Angola,1999.25,25.424978
Angola,1999.3334,-10.758611
Angola,1999.4166,-26.625214
Angola,1999.5,-55.77433
Angola,1999.5834,-52.412517
Angola,1999.6666,-62.26841
Angola,1999.75,-22.704413
Angola,1999.8334,20.744808
Angola,1999.9166,-9.16006
Angola,2000,-3.062766
Angola,2000.0834,34.991402
Angola,2000.1666,15.930036
Angola,2000.25,11.643336
Angola,2000.3334,-16.855825
Angola,2000.4166,-54.74853
Angola,2000.5,-62.79281
Angola,2000.5834,-70.18755
Angola,2000.6666,-53.64932
Angola,2000.75,-27.17279
Angola,2000.8334,3.736614
Angola,2000.9166,-20.866731
Angola,2001,-3.511914
Angola,2001.0834,36.395036
Angola,2001.1666,31.245518
Angola,2001.25,28.75523
Angola,2001.3334,0.540791
Angola,2001.4166,-45.55819
Angola,2001.5,-57.894196
Angola,2001.5834,-68.236984
Angola,2001.6666,-50.751448
Angola,2001.75,-8.907211
Angola,2001.8334,-3.203771
Angola,2001.9166,-21.14239
Angola,2002,-25.898006
Angola,2002.0834,18.733628
Angola,2002.1666,20.506289
Angola,2002.25,20.43646
